year_month,destination_region,origin_region,arriving_passengers
2005-11,South,Northeast,7748
2005-11,South,South,103723
2005-11,South,Southeast,296350
2005-11,Southeast,Central-West,211907
2005-11,Southeast,North,29615
2005-11,Southeast,Northeast,254402
2005-11,Southeast,South,298607
2005-11,Southeast,Southeast,833863
2005-12,Central-West,Central-West,63865
2005-12,Central-West,North,63497
2005-12,Central-West,Northeast,67950
2005-12,Central-West,South,21439
2005-12,Central-West,Southeast,208467
2005-12,North,Central-West,53101
2005-12,North,North,130958
2005-12,North,Northeast,11744
2005-12,North,South,27
2005-12,North,Southeast,28319
2005-12,Northeast,Central-West,96136
2005-12,Northeast,North,16856
2005-12,Northeast,Northeast,234229
2005-12,Northeast,South,8806
2005-12,Northeast,Southeast,348552
2005-12,South,Central-West,25370
2005-12,South,North,36
2005-12,South,Northeast,8775
2005-12,South,South,104161
2005-12,South,Southeast,326039
2005-12,Southeast,Central-West,240981
2005-12,Southeast,North,34963
2005-12,Southeast,Northeast,272037
2005-12,Southeast,South,301789
2005-12,Southeast,Southeast,838023
2006-01,Central-West,Central-West,65802
2006-01,Central-West,North,54088
2006-01,Central-West,Northeast,116332
2006-01,Central-West,South,23681
2006-01,Central-West,Southeast,234275
2006-01,North,Central-West,59139
2006-01,North,North,130813
2006-01,North,Northeast,20866
2006-01,North,South,21
2006-01,North,Southeast,33793
2006-01,Northeast,Central-West,101348
2006-01,Northeast,North,17140
2006-01,Northeast,Northeast,271634
2006-01,Northeast,South,11777
2006-01,Northeast,Southeast,396762
2006-01,South,Central-West,18192
2006-01,South,North,45
2006-01,South,Northeast,9584
2006-01,South,South,95220
2006-01,South,Southeast,287947
2006-01,Southeast,Central-West,202855
2006-01,Southeast,North,30782
2006-01,Southeast,Northeast,443393
2006-01,Southeast,South,335402
2006-01,Southeast,Southeast,794696
2006-02,Central-West,Central-West,55860
2006-02,Central-West,North,45620
2006-02,Central-West,Northeast,71818
2006-02,Central-West,South,16589
2006-02,Central-West,Southeast,187979
2006-02,North,Central-West,49902
2006-02,North,North,103198
2006-02,North,Northeast,14386
2006-02,North,South,2
2006-02,North,Southeast,25585
2006-02,Northeast,Central-West,68356
2006-02,Northeast,North,12839
2006-02,Northeast,Northeast,211243
2006-02,Northeast,South,8841
2006-02,Northeast,Southeast,297198
2006-02,South,Central-West,17906
2006-02,South,North,39
2006-02,South,Northeast,10300
2006-02,South,South,91849
2006-02,South,Southeast,278229
2006-02,Southeast,Central-West,194674
2006-02,Southeast,North,27225
2006-02,Southeast,Northeast,293807
2006-02,Southeast,South,268124
2006-02,Southeast,Southeast,752314
2006-03,Central-West,Central-West,67566
2006-03,Central-West,North,52248
2006-03,Central-West,Northeast,81209
2006-03,Central-West,South,25205
2006-03,Central-West,Southeast,235693
2006-03,North,Central-West,54058
2006-03,North,North,107631
2006-03,North,Northeast,14787
2006-03,North,South,184
2006-03,North,Southeast,29914
2006-03,Northeast,Central-West,70469
2006-03,Northeast,North,12178
2006-03,Northeast,Northeast,239267
2006-03,Northeast,South,6560
2006-03,Northeast,Southeast,279574
2006-03,South,Central-West,24095
2006-03,South,North,131
2006-03,South,Northeast,6707
2006-03,South,South,107336
2006-03,South,Southeast,308503
2006-03,Southeast,Central-West,227539
2006-03,Southeast,North,29194
2006-03,Southeast,Northeast,330343
2006-03,Southeast,South,326435
2006-03,Southeast,Southeast,880150
2006-04,Central-West,Central-West,66175
2006-04,Central-West,North,52598
2006-04,Central-West,Northeast,72966
2006-04,Central-West,South,26042
2006-04,Central-West,Southeast,235979
2006-04,North,Central-West,54654
2006-04,North,North,110648
2006-04,North,Northeast,14580
2006-04,North,South,151
2006-04,North,Southeast,28037
2006-04,Northeast,Central-West,74612
2006-04,Northeast,North,15594
2006-04,Northeast,Northeast,257838
2006-04,Northeast,South,5394
2006-04,Northeast,Southeast,284697
2006-04,South,Central-West,25290
2006-04,South,North,191
2006-04,South,Northeast,5888
2006-04,South,South,104093
2006-04,South,Southeast,309312
2006-04,Southeast,Central-West,236345
2006-04,Southeast,North,31573
2006-04,Southeast,Northeast,290333
2006-04,Southeast,South,318358
2006-04,Southeast,Southeast,843022
2006-05,Central-West,Central-West,74264
2006-05,Central-West,North,56538
2006-05,Central-West,Northeast,74621
2006-05,Central-West,South,26073
2006-05,Central-West,Southeast,253492
2006-05,North,Central-West,57440
2006-05,North,North,127926
2006-05,North,Northeast,17733
2006-05,North,South,164
2006-05,North,Southeast,30421
2006-05,Northeast,Central-West,72204
2006-05,Northeast,North,17295
2006-05,Northeast,Northeast,278324
2006-05,Northeast,South,4805
2006-05,Northeast,Southeast,271241
2006-05,South,Central-West,25230
2006-05,South,North,247
2006-05,South,Northeast,5306
2006-05,South,South,111846
2006-05,South,Southeast,319944
2006-05,Southeast,Central-West,250409
2006-05,Southeast,North,30019
2006-05,Southeast,Northeast,282247
2006-05,Southeast,South,331735
2006-05,Southeast,Southeast,924656
2006-06,Central-West,Central-West,73549
2006-06,Central-West,North,55644
2006-06,Central-West,Northeast,75784
2006-06,Central-West,South,26584
2006-06,Central-West,Southeast,251766
2006-06,North,Central-West,55127
2006-06,North,North,137212
2006-06,North,Northeast,19580
2006-06,North,South,150
2006-06,North,Southeast,29346
2006-06,Northeast,Central-West,81423
2006-06,Northeast,North,21831
2006-06,Northeast,Northeast,289460
2006-06,Northeast,South,5699
2006-06,Northeast,Southeast,305549
2006-06,South,Central-West,26450
2006-06,South,North,123
2006-06,South,Northeast,5693
2006-06,South,South,108545
2006-06,South,Southeast,300546
2006-06,Southeast,Central-West,251383
2006-06,Southeast,North,30119
2006-06,Southeast,Northeast,282839
2006-06,Southeast,South,303427
2006-06,Southeast,Southeast,850811
2006-07,Central-West,Central-West,72344
2006-07,Central-West,North,57671
2006-07,Central-West,Northeast,90175
2006-07,Central-West,South,28184
2006-07,Central-West,Southeast,263927
2006-07,North,Central-West,60055
2006-07,North,North,161535
2006-07,North,Northeast,22768
2006-07,North,South,244
2006-07,North,Southeast,32114
2006-07,Northeast,Central-West,95757
2006-07,Northeast,North,22945
2006-07,Northeast,Northeast,294020
2006-07,Northeast,South,10511
2006-07,Northeast,Southeast,364617
2006-07,South,Central-West,26502
2006-07,South,North,219
2006-07,South,Northeast,9520
